HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,1,200,0,40,1,0,1,0,1,14,1,1,1,1,0,451,28,0.6428571428571429,0.06208425720620843,60.50260787102892,-1909.0,71.64534193723874,79.07383131471197,1.5,2,0,0,1.0,0,0,0.9635854341736695,0,0,0.952247191011236,0,0,0,1,0,0.9563636363636364,0,0,0,0,0,0.9871794871794872,1,0,0.9103448275862069,0,0,1.0,1,0,0.9652509652509652,0.46190706560000194
1,0.5,180,2,40,1,2,1,2,1,14,1,1.5,1,1,2,368,16,0.6875,0.043478260869565216,76.08695652173914,-305.99999999999994,90.43478260869566,100.0,2.5,3.0,1,0,1.0,0,0,0.9769585253456221,1,0,0.9623430962343096,0,0,0,0,0,0.9637305699481865,0,0,0,1,0,0.978494623655914,0,0,0.9230769230769231,0,0,1.0,1,0,0.9732360097323601,-0.4472577078291522
0.75,0.5,180,0,50,2,0,1,0,1,14,2,0.5,1,2,0,384,20,0.7,0.052083333333333336,52.11822660098522,-815.0,80.84729064039409,100.0,3,4.5,0,0,1.0,1,0,0.975,1,0,0.9586776859504132,0,0,0,1,0,0.9790575916230366,0,0,0,1,0,0.9423076923076923,0,0,0.927710843373494,0,0,0.9333333333333333,1,0,0.966183574879227,0.39855411199999935
1.25,0.5,180,2,40,0.5,2,0.5,2,0.5,14,1.5,1.5,0.5,2,2,592,25,0.68,0.04222972972972973,77.03081232492998,-1585.0000000000002,82.66682236988015,86.42416239984694,3,4.0,0,1,1.0,1,0,0.9809523809523809,1,0,0.9666666666666667,0,0,0,0,0,0.9757785467128027,0,0,0,0,0,0.9574468085106383,1,0,0.9444444444444444,0,0,1.0,1,0,0.9724473257698542,0.17165237667640554
1.25,0.5,180,2,40,0.5,2,0.5,2,0.5,14,1.5,1.5,0.5,2,2,593,20,0.65,0.03372681281618887,79.24297924297925,-619.0,91.49099407154434,99.65633729058771,3,4.0,0,0,1.0,0,0,0.9722222222222222,0,0,0.9719887955182073,0,0,0,0,0,0.9761092150170648,0,0,0,0,0,0.9741379310344828,0,0,0.9481481481481482,0,0,1.0,1,0,0.9787928221859706,0.025083199999983208
1.25,0.5,180,2,40,0.5,2,0.5,2,0.5,14,1.5,1.5,0.5,2,2,593,22,0.6818181818181818,0.03709949409780776,81.45161290322581,-1040.0,91.84339743458345,98.77125378882188,3,4.0,0,0,1.0,0,0,0.9721362229102167,1,0,0.9696132596685083,0,0,0,0,0,0.9726027397260274,0,0,0,0,0,0.9739130434782609,1,0,0.9424460431654677,0,0,1.0,1,0,0.975609756097561,0.3046944000000167
1.25,0.5,180,2,40,0.5,2,0.5,2,0.5,14,1.5,1.5,0.5,2,2,593,25,0.64,0.04215851602023609,82.82085561497327,-1296.0,93.01255674934275,99.80702417225574,3,4.0,0,0,1.0,0,0,0.9717868338557993,0,0,0.9673024523160763,0,0,0,1,0,0.9727891156462585,0,0,0,0,0,0.9732142857142857,0,0,0.9366197183098591,0,0,1.0,1,0,0.974025974025974,0.5605007999999998
1.25,0.5,180,2,40,0.5,2,0.5,2,0.5,14,1.5,1.5,0.5,2,2,593,27,0.6666666666666666,0.045531197301854974,72.45139876718824,-1909.0,88.90360808974775,99.87174763812077,3,4.0,0,0,1.0,1,0,0.9690402476780186,1,0,0.9649595687331537,0,0,0,0,0,0.9691780821917808,0,0,0,0,0,0.9719626168224299,1,0,0.9295774647887324,0,0,1.0,1,0,0.970873786407767,0.2224580120229973
0.75,0.5,180,1,30,2,1,0,1,0,14,0,1.5,0,1.5,1,588,48,0.5416666666666666,0.08163265306122448,78.82599580712788,-6001.0,80.17455928501576,81.0736016036077,3,4.0,0,0,1.0,0,0,0.9556313993174061,0,0,0.9466292134831461,0,0,0,1,0,0.953125,0,0,0,1,0,0.9655172413793104,0,0,0.9430379746835443,1,0,0.875,1,0,0.9584664536741214,-0.7438744908071442
1.25,0,180,1,30,2,1,0.5,1,0.5,14,2,1,0.5,1,1,754,43,0.5813953488372093,0.05702917771883289,79.67420814479638,-5325.0,80.40165982922963,80.88662761885179,2.5,4.5,0,0,1.0,1,0,0.9562043795620438,1,0,0.9565217391304348,0,0,0,1,0,0.9750623441396509,0,0,0,1,0,0.9683544303797469,0,0,0.943502824858757,1,0,0.9629629629629629,1,0,0.9696969696969697,0.5369199999999807
