HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0.75,1,200,1,60,2,1,0.5,1,0.5,14,1.5,0.5,0.5,1,1,788,28,0.5714285714285714,0.03553299492385787,71.5909090909091,-1296.0,74.2952721712166,76.09818089142159,3,4.5,0,0,1.0,0,0,0.9766536964980544,1,0,0.9735349716446124,0,0,0,1,0,0.9946091644204852,0,0,0,0,0,0.9751552795031055,0,0,0.9826589595375722,0,0,0.9696969696969697,1,0,0.9803921568627451,0.20551999999999282
1.25,1.5,180,0,40,0.5,0,2,0,2,14,1,1.5,2,1.5,0,765,32,0.5625,0.04183006535947712,74.91702228544334,-1909.0,74.67450873272526,74.5128330309132,3,5.0,0,0,1.0,1,0,0.9807280513918629,1,0,0.9735849056603774,0,0,0,0,0,0.9789473684210527,0,0,0,0,0,0.9570552147239264,1,0,0.9767441860465116,0,0,0.967741935483871,1,0,0.9779951100244498,0.2200600000000037
1.25,1.5,180,0,40,0.5,0,2,0,2,14,1,1.5,2,1.5,0,763,29,0.5862068965517241,0.03800786369593709,76.1344537815126,-1585.0000000000002,78.55425002749762,80.16744752482097,3,5.0,0,0,1.0,0,0,0.9797297297297297,1,0,0.9706457925636007,0,0,0,0,0,0.9811320754716981,0,0,0,1,0,0.9657142857142857,0,0,0.9743589743589743,0,0,0.9655172413793104,1,0,0.9791921664626683,-0.48468367141207125
1.25,2,180,0,30,0.5,0,2,0,2,14,2,1.5,2,1.5,0,581,18,0.6666666666666666,0.03098106712564544,76.46153846153845,-450.0,88.71776268237939,96.88857882960667,3,5.0,0,0,1.0,1,0,0.9763157894736842,1,0,0.9698492462311558,0,0,0,0,0,0.989010989010989,0,0,0,1,0,0.961038961038961,0,0,0.9782608695652174,0,0,0.9583333333333334,1,0,0.9803921568627451,0.2927999999999855
1.25,0.5,180,1,30,0.5,1,0,1,0,14,0,1.5,0,2,1,736,48,0.5,0.06521739130434782,67.57142857142857,-4700.0,87.02857142857142,100.0,3,5.0,0,0,1.0,1,0,0.958904109589041,1,0,0.9559748427672956,0,0,0,0,0,0.9811320754716981,0,0,0,1,0,0.9829545454545454,0,0,0.9506172839506173,0,0,0.9615384615384616,1,0,0.970873786407767,0.3044127011427946
0.75,0.5,180,1,50,0,1,0,1,0,14,1,1.5,0,1,1,361,8,0.75,0.0221606648199446,41.75824175824176,91.0,75.2028053667727,97.49918110579333,1.5,3.5,1,0,1.0,1,0,0.9748743718592965,0,0,0.9827586206896551,0,0,0,1,0,0.9789473684210527,0,0,0,1,0,0.967741935483871,0,0,0.9882352941176471,0,0,1.0,1,0,0.9852216748768473,-0.4387486341082223
1,1,180,0,30,0.5,0,1.5,0,1.5,14,1.5,0.5,1.5,1,0,477,17,0.5882352941176471,0.03563941299790356,64.93506493506493,-185.0,74.76977598949904,81.32625002578845,1.5,2.0,0,0,1.0,0,0,0.9715302491103203,0,0,0.9714285714285714,0,0,0,0,0,0.9918032786885246,0,0,0,0,0,0.9380530973451328,0,0,1.0,0,0,1.0,1,0,0.9803921568627451,0.0239999999999867
1,1,180,0,40,1.5,0,2,0,2,14,1.5,0.5,2,2,0,487,24,0.625,0.049281314168377825,77.25806451612904,-1040.0,84.82928474208049,89.87676489271479,2.5,3.0,0,1,1.0,1,0,0.9601139601139601,1,0,0.9577922077922078,0,0,0,1,0,0.9838709677419355,0,0,0,0,0,0.9090909090909091,0,0,1.0,0,0,1.0,1,0,0.970873786407767,-0.18992940996572827
1.25,0,180,1,60,2,1,0,1,0,14,2,1,0,2,1,399,12,0.8333333333333334,0.03007518796992481,74.02597402597402,-185.0,89.6103896103896,100.0,1.5,2.5,0,0,1.0,1,0,0.975,1,0,0.970954356846473,0,0,0,1,0,0.979381443298969,0,0,0,0,0,0.9571428571428572,1,0,0.9801980198019802,0,0,1.0,1,0,0.975609756097561,0.36824111985521313
1,1.5,180,0,30,0.5,0,0,0,0,14,1.5,0.5,0,1,0,764,23,0.6521739130434783,0.030104712041884817,78.14516129032259,-1040.0,87.8522470940699,94.32363762990144,2,2.5,0,0,1.0,0,0,0.9733606557377049,0,0,0.9707207207207207,0,0,0,0,0,0.9874055415617129,0,0,0,0,0,0.9590643274853801,0,0,0.9875776397515528,0,0,1.0,1,0,0.9815950920245399,0.28293214874506134
