HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,1,180,0,40,2,0,2,0,2,14,1,0.5,2,1.5,0,381,12,0.9166666666666666,0.031496062992125984,63.43873517786561,-305.99999999999994,73.73497564484542,80.59913595616528,1.5,3.5,0,0,1.0,1,0,0.9673469387755103,1,0,0.969811320754717,0,0,0,0,0,0.976303317535545,0,0,0,1,0,0.9310344827586207,0,0,0.9629629629629629,0,0,1.0,1,0,0.9732360097323601,0.22700000000000387
1,1,180,0,40,2,0,2,0,2,14,1,0.5,2,1.5,0,383,13,0.9230769230769231,0.033942558746736295,68.0,-450.0,77.68077229213102,84.13462048688505,1.5,3.5,0,1,1.0,0,0,0.966804979253112,0,0,0.9688715953307393,0,0,0,0,0,0.9768518518518519,0,0,0,0,0,0.9294117647058824,1,0,0.9487179487179487,0,0,1.0,1,0,0.970873786407767,0.20400000000000773
1,1,180,0,40,2,0,2,0,2,14,1,0.5,2,1.5,0,383,14,0.9285714285714286,0.03655352480417755,53.96825396825397,-619.0,72.0658907158988,84.13098188099536,1.5,3.5,1,0,1.0,0,0,0.9661016949152542,0,0,0.9682539682539683,0,0,0,1,0,0.971830985915493,0,0,0,0,0,0.9294117647058824,0,0,0.9459459459459459,0,0,1.0,1,0,0.9685230024213075,-0.38248702489977404
0.75,2,180,0,30,2,0,1.5,0,1.5,14,0.5,1,1.5,1.5,0,491,15,0.7333333333333333,0.03054989816700611,56.32411067193676,-305.99999999999994,82.5296442687747,100.0,3,5.0,0,0,1.0,0,0,0.9756944444444444,1,0,0.9742765273311897,0,0,0,1,0,0.97265625,0,0,0,0,0,0.9696969696969697,1,0,0.9615384615384616,0,0,1.0,1,0,0.9784735812133072,-0.4619201830121682
1.25,0.5,180,2,30,1.5,2,0.5,2,0.5,14,0,1,0.5,1,2,464,59,0.5932203389830508,0.1271551724137931,91.03957075788061,-14710.0,95.60483410086074,98.64834299618083,3,5.0,0,0,1.0,0,0,0.9344827586206896,0,0,0.9193083573487032,0,0,0,1,0,0.9541984732824428,0,0,0,0,0,0.8547008547008547,0,0,0.9696969696969697,0,0,1.0,1,0,0.9345794392523364,0.15126135413758846
1.25,0.5,180,2,30,1.5,2,0.5,2,0.5,14,0,1,0.5,1,2,463,60,0.6,0.12958963282937366,83.75910156732076,-16006.0,92.69264642460055,98.64834299612043,3,5.0,0,1,1.0,1,0,0.9310344827586207,1,0,0.9149560117302052,0,0,0,0,0,0.9538461538461539,0,0,0,0,0,0.859504132231405,0,0,0.968421052631579,0,0,1.0,1,0,0.9328358208955224,0.04626055116800387
1.25,0.5,180,2,30,1.5,2,0.5,2,0.5,14,0,1,0.5,1,2,462,48,0.625,0.1038961038961039,85.81702802749868,-9255.0,86.50569421101906,86.96480500003267,3,5.0,0,0,1.0,1,0,0.9404255319148936,1,0,0.930379746835443,0,0,0,1,0,0.9416342412451362,0,0,0,0,0,0.9306930693069307,0,0,0.9714285714285714,0,0,0.9130434782608695,1,0,0.9433962264150944,-1.0827760400974142
1,1.5,180,1,40,0.5,1,0,1,0,14,1.5,1,0,1,1,724,23,0.7391304347826086,0.031767955801104975,69.24369747899159,-1585.0000000000002,87.33329773761128,99.39303124335773,3,4.5,0,0,1.0,1,0,0.9910313901345291,1,0,0.9903100775193798,0,0,0,1,0,0.961352657004831,0,0,0,0,0,0.9803921568627451,0,0,0.9935897435897436,0,0,0.9642857142857143,1,0,0.9791921664626683,0.21069541459469576
1,1.5,180,1,40,0.5,1,0,1,0,14,1.5,1,0,1,1,718,21,0.7619047619047619,0.02924791086350975,73.2620320855615,-1296.0,79.0927198098439,82.97984495936551,3,4.5,0,0,1.0,0,0,0.993801652892562,0,0,0.9923076923076923,0,0,0,1,0,0.9604221635883905,0,0,0,1,0,0.9782608695652174,0,0,0.9943502824858758,1,0,0.9375,1,0,0.9803921568627451,0.23108560000001432
1,1.5,180,1,40,0.5,1,0,1,0,14,1.5,1,0,1,1,715,22,0.7727272727272727,0.03076923076923077,61.40056022408964,-1585.0000000000002,74.34813106525516,82.97984495936551,3,4.5,1,0,1.0,0,0,0.9936305732484076,0,0,0.9922330097087378,0,0,0,1,0,0.958005249343832,0,0,0,0,0,0.9781021897810219,0,0,0.9943502824858758,0,0,0.9393939393939394,1,0,0.9791921664626683,-0.5813098004314696
1,2,180,2,50,2,2,2,2,2,14,2,1.5,2,2,2,392,9,0.6666666666666666,0.02295918367346939,60.43956043956044,91.0,84.17582417582418,100.0,1.5,2.5,0,0,1.0,1,0,0.9811320754716981,1,0,0.9818181818181818,0,0,0,0,0,0.9941520467836257,0,0,0,0,0,1.0,0,0,0.978021978021978,0,0,1.0,1,0,0.9852216748768473,-0.3733633224824757
1,2,180,1,50,1.5,1,1.5,1,1.5,14,1.5,1,1.5,1,1,678,18,0.8333333333333334,0.02654867256637168,74.51612903225806,-1040.0,86.20933208672184,94.00480078969768,1.5,2.0,0,0,1.0,1,0,0.9782178217821782,1,0,0.9754601226993865,0,0,0,1,0,0.9814814814814815,0,0,0,0,0,0.9626168224299065,1,0,0.9532163742690059,1,0,0.90625,1,0,0.9790209790209791,-0.30090844344360335
0.75,0,180,2,40,1.5,2,1,2,1,14,2,0.5,1,2,2,483,27,0.8148148148148148,0.055900621118012424,55.57312252964427,-3595.0000000000005,82.22924901185772,100.0,3,5.0,0,0,1.0,1,0,0.9512893982808023,1,0,0.9430199430199431,0,0,0,0,0,0.9641255605381166,0,0,0,0,0,0.961038961038961,0,0,0.8984375,0,0,0.9,1,0,0.9578544061302682,0.1527430046917857
0.75,0,180,2,40,1.5,2,1,2,1,14,2,0.5,1,2,2,486,19,0.8421052631578947,0.03909465020576132,82.88770053475936,-1296.0,93.15508021390374,100.0,3,5.0,0,0,1.0,0,0,0.9603399433427762,1,0,0.9558823529411765,0,0,0,1,0,0.9612068965517241,0,0,0,1,0,0.9746835443037974,0,0,0.912,0,0,0.9473684210526315,1,0,0.9689922480620154,0.807062000000002
0.75,0,180,2,40,1.5,2,1,2,1,14,2,0.5,1,2,2,487,21,0.8095238095238095,0.043121149897330596,71.20448179271709,-1585.0000000000002,88.48179271708685,100.0,3,5.0,0,0,1.0,0,0,0.9580645161290322,1,0,0.949685534591195,0,0,0,0,0,0.9605263157894737,0,0,0,0,0,0.9777777777777777,0,0,0.9130434782608695,0,0,0.9444444444444444,1,0,0.9671179883945842,0.02856442101821699
0.75,0,180,2,40,1.5,2,1,2,1,14,2,0.5,1,2,2,490,11,0.7272727272727273,0.022448979591836733,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,3,5.0,0,0,1.0,0,0,0.9861751152073732,1,0,0.9709090909090909,0,0,0,0,0,0.9906542056074766,0,0,0,1,0,0.981651376146789,0,0,0.9791666666666666,0,0,1.0,1,0,0.984251968503937,0.1040201119999864
0.75,0,180,2,40,1.5,2,1,2,1,14,2,0.5,1,2,2,490,10,0.8,0.02040816326530612,68.62745098039215,-4.0000000000000036,87.45098039215686,100.0,3,5.0,0,0,1.0,0,0,0.9953271028037384,1,0,0.971830985915493,0,0,0,0,0,0.9953703703703703,0,0,0,0,0,0.9743589743589743,1,0,0.9791666666666666,0,0,1.0,1,0,0.984251968503937,0.02400000000000091
0.75,1.5,180,0,40,1.5,0,1,0,1,14,0,1.5,1,2,0,692,31,0.6774193548387096,0.044797687861271675,74.17698580489278,-3111.0,70.79778211052103,68.54497964760652,3,5.0,0,0,1.0,1,0,0.9682539682539683,1,0,0.9544419134396356,0,0,0,0,0,0.9626168224299065,0,0,0,0,0,0.9701492537313433,1,0,0.9345238095238095,0,0,0.9666666666666667,1,0,0.970873786407767,-0.6413601236592683
0.75,0,180,1,30,1,1,0,1,0,14,2,1,0,1,1,359,23,0.43478260869565216,0.06406685236768803,61.038961038961034,-185.0,72.0630282429551,79.41240637895115,2,3.0,0,0,1.0,1,0,0.9663865546218487,1,0,0.9641434262948207,0,0,0,0,0,0.9837837837837838,0,0,0,0,0,0.9857142857142858,1,0,0.9369369369369369,0,0,1.0,1,0,0.975609756097561,-0.3972265633601353
0.75,2,180,1,50,0,1,0.5,1,0.5,14,2,1.5,0.5,1,1,486,23,0.6521739130434783,0.047325102880658436,71.37096774193549,-1040.0,74.71488979366913,76.94417116149155,2.5,4.0,0,0,1.0,1,0,0.9701492537313433,1,0,0.9697885196374623,0,0,0,0,0,0.9576271186440678,0,0,0,0,0,0.975,1,0,0.9436619718309859,0,0,1.0,1,0,0.970873786407767,0.3177846670977402
