STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,CLOSED
716,45,0.6444444444444445,0.06284916201117319,72.32274353040185,-37824.0,77.68957035429246,79.98963899310272,1.5,2,0,0,1.0,1,0,0.9556650246305419,0,0,0.9543147208121827,0,0,0,0,0,0,0,0,0.9752321981424149,0,0,0,0,0,0.9038461538461539,0,0,0.9393939393939394,0,0,0,0,0,0.9523809523809523,1,0,0.9650180940892642,1,0,0.9672131147540983,-0.26358528033635764
704,31,0.8387096774193549,0.04403409090909091,72.34340962668975,-33311.0,78.60034880623448,81.28189416889651,1.5,2,1,0,1.0,0,0,0.9791666666666666,0,0,0.9923664122137404,0,0,0,0,0,0,0,0,0.9745370370370371,0,0,0,0,0,0.9183673469387755,0,0,0.9555555555555556,0,0,0,0,0,0.9523809523809523,1,0,0.9685230024213075,1,0,0.9694533762057878,0.144317222180959
730,43,0.6046511627906976,0.0589041095890411,73.60269762167646,-33311.0,79.05974610387548,81.39848116767506,1.5,2,0,0,1.0,0,0,0.96875,0,0,0.9671052631578947,0,0,0,0,0,0,1,0,0.9742990654205608,0,0,0,0,0,0.9230769230769231,1,0,0.948905109489051,0,0,0,0,0,1.0,1,0,0.9685230024213075,1,0,0.9690553745928339,0.28261494848483437
723,42,0.5952380952380952,0.058091286307053944,75.08520465042204,-31195.0,80.36640865159525,82.62978179495519,1.5,2,0,0,1.0,0,0,0.968421052631579,0,0,0.9666666666666667,0,0,0,0,0,0,1,0,0.9743589743589743,0,0,0,0,0,0.9215686274509803,0,0,0.9507042253521126,0,0,0,0,0,1.0,1,0,0.9696969696969697,1,0,0.9704433497536946,0.2415989251188222
726,44,0.5909090909090909,0.06060606060606061,76.38685804661156,-33311.0,81.39093936309138,83.53554564158273,1.5,2,0,1,1.0,0,0,0.9682539682539683,1,0,0.9620253164556962,0,0,0,0,0,0,1,0,0.9720930232558139,0,0,0,0,0,0.92,0,0,0.9571428571428572,0,0,0,0,0,1.0,1,0,0.9685230024213075,1,0,0.96843853820598,-0.08581910909879298
728,43,0.5813953488372093,0.059065934065934064,71.54642458990284,-31195.0,78.41004611209601,81.35159819303594,1.5,2,0,1,1.0,0,0,0.9692307692307692,0,0,0.9620253164556962,0,0,0,0,0,0,1,0,0.9697674418604652,0,0,0,0,0,0.9183673469387755,0,0,0.9635036496350365,0,0,0,0,0,1.0,1,0,0.9696969696969697,1,0,0.9700499168053245,-0.16069986447126894
707,48,0.6875,0.06789250353606789,77.68088564776173,-45326.0,83.06231016189179,85.3686349536618,1.5,2,0,0,1.0,0,0,0.9330357142857143,1,0,0.9558823529411765,0,0,0,0,0,0,0,1,0.948170731707317,0,0,0,0,0,0.9591836734693877,1,0,0.9496402877697842,0,0,0,0,0,1.0,1,0,0.9603841536614646,0,0,0.964516129032258,-0.18618887065375134
487,23,0.7391304347826086,0.04722792607802875,81.57610241820768,-17375.0,89.88718045866672,93.44907104743488,1.5,2.5,1,0,1.0,0,0,0.8888888888888888,0,0,1.0,0,0,0,0,0,0,1,0,0.9292035398230089,0,0,0,0,0,0.9473684210526315,0,0,0.9855072463768116,0,0,0,0,0,1.0,1,0,0.9671179883945842,0,0,1.0,0.3344417973684415
487,25,0.76,0.0513347022587269,72.33203505355405,-20340.0,85.13569193187219,90.6229734511514,1.5,2.5,1,0,1.0,0,0,1.0,0,0,0.9875,0,0,0,0,0,0,0,0,0.926605504587156,0,0,0,0,0,0.9230769230769231,0,0,0.9846153846153847,0,0,0,0,0,1.0,1,0,0.9633911368015414,0,0,1.0,0.37302515950725024
488,25,0.76,0.05122950819672131,66.52872444011685,-20340.0,83.29848479970516,90.48552495381443,1.5,2.5,1,0,1.0,0,0,1.0,0,0,0.9877300613496932,0,0,0,0,0,0,0,0,0.9302325581395349,0,0,0,0,0,0.9210526315789473,1,0,0.9705882352941176,0,0,0,0,0,1.0,1,0,0.9633911368015414,0,0,1.0,0.27324976489511243
