HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
0.75,0,200,1,50,2,100,1,25,1,14,1,1,1,0,375,48,0.4375,0.128,75.44548474781033,-3111.0,82.71149523381038,85.82549972781041,1.5,2,0,1,1.0,0,0,0.9536423841059603,0,0,0.9401993355481728,0,0,0,0,0,0.9629629629629629,0,0,1.0,0,0,0.881578947368421,0,0,0.9166666666666666,1,0,0.9523809523809523,0.6052245385599804
0.75,0,200,1,50,2,100,1,25,1,14,1,1,1,0,370,48,0.5,0.12972972972972974,48.79591836734694,-4700.0,79.18168584194542,92.20415761677334,1.5,2,0,1,1.0,1,0,0.95,0,0,0.9363295880149812,0,0,0,1,0,0.9530201342281879,0,0,1.0,0,0,0.8309859154929577,0,0,0.9,1,0,0.9456264775413712,0.3226107999999783
1,1.5,180,0,30,1,90,0.5,15,0.5,14,0.5,1,2,0.3341751461280252,686,84,0.6904761904761905,0.12244897959183673,74.02597402597402,-185.0,92.20779220779221,100.0,2,2.5,1,0,1.0,0,1,0.9469026548672567,0,0,0.9254498714652957,0,0,0,1,0,0.9187279151943463,0,0,0.9240506329113924,0,0,0.8901098901098901,0,0,1.0,1,0,0.9234828496042217,0.5341203369611662
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,670,62,0.6612903225806451,0.09253731343283582,71.91697191697192,-619.0,83.90968665719875,89.04942154586739,1.5,3.5,1,0,1.0,0,0,0.9479166666666666,0,0,0.9325,0,0,0,1,0,0.9267399267399268,0,0,0.9113924050632911,1,0,0.8571428571428571,0,0,1.0,1,0,0.9459459459459459,0.14135999999999171
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,670,63,0.6666666666666666,0.09402985074626866,74.67980295566502,-815.0,86.30016614072744,91.28032179146848,1.5,3.5,1,0,1.0,0,0,0.9466666666666667,1,0,0.9292929292929293,0,0,0,0,0,0.9261992619926199,0,0,0.9135802469135802,0,0,0.8529411764705882,0,0,1.0,1,0,0.9446693657219973,0.36918349435273967
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,674,64,0.671875,0.09495548961424333,76.65024630541872,-815.0,88.7916968958132,93.99517572026797,1.5,3.5,0,1,1.0,1,0,0.9428571428571428,1,0,0.9248704663212435,0,0,0,0,0,0.9274809160305344,0,0,0.9058823529411765,1,0,0.85,0,0,1.0,1,0,0.9433962264150944,0.2356976580779815
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,673,65,0.676923076923077,0.09658246656760773,78.54838709677419,-1040.0,90.03407220330504,94.95650867753255,1.5,3.5,0,0,1.0,1,0,0.9376854599406528,1,0,0.9238578680203046,0,0,0,0,0,0.9288389513108615,1,0,0.8941176470588236,0,0,0.8514851485148515,0,0,1.0,1,0,0.9421265141318977,0.3656419385048082
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,673,69,0.6811594202898551,0.1025260029717682,81.5126050420168,-1585.0000000000002,91.74062582996639,96.12406331051622,1.5,3.5,0,0,1.0,0,0,0.9380281690140845,1,0,0.9215686274509803,0,0,0,1,0,0.9272727272727272,0,0,0.8734177215189873,1,0,0.8490566037735849,0,0,1.0,1,0,0.938337801608579,0.350219936000002
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,672,72,0.6944444444444444,0.10714285714285714,82.6932195353248,-1909.0,92.60369929077834,96.85104775740129,1.5,3.5,0,0,1.0,0,0,0.9380281690140845,0,0,0.9183168316831684,0,0,0,0,0,0.9236363636363636,0,0,0.8666666666666667,0,0,0.8454545454545455,0,0,1.0,1,0,0.9345794392523364,0.6323714649200554
0.75,1.5,180,0.5,40,1.5,90,1,20,1,14,1.5,2,1.5,0.0954441871960609,673,78,0.717948717948718,0.11589895988112928,79.36507936507937,-619.0,93.80952380952381,100.0,1.5,3.5,0,0,1.0,1,0,0.927170868347339,1,0,0.9079903147699758,0,0,0,0,0,0.9084249084249084,0,0,0.8591549295774648,0,0,0.847457627118644,0,0,1.0,1,0,0.9271523178807947,0.23063559999999939
