HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,2,180,0,40,1,90,0.5,20,0.5,14,1.5,1,1,0,770,52,0.6730769230769231,0.06753246753246753,70.48289738430583,-14710.0,80.3550176369144,84.58592631660377,2,3.0,1,0,1.0,1,0,0.9663865546218487,0,0,0.9545454545454546,0,0,0,1,0,0.9379084967320261,0,0,0.9661016949152542,0,0,0.8790322580645161,0,0,0.96875,1,0,0.9580838323353293,-85.04890216315835
1,2,180,0,40,1,90,0.5,20,0.5,14,1.5,1,1,0,770,51,0.6666666666666666,0.06623376623376623,64.47935696017537,-13485.0,73.9386919247087,77.99269262379444,2,3.0,0,0,1.0,0,0,0.9679144385026738,0,0,0.957089552238806,0,0,0,0,0,0.9379084967320261,0,0,0.9655172413793104,0,0,0.8790322580645161,0,0,0.9655172413793104,1,0,0.9592326139088729,78.79010353019112
1,2,180,0,40,1,90,0.5,20,0.5,14,1.5,1,1,0,770,54,0.6481481481481481,0.07012987012987013,59.181757209926225,-14710.0,72.34941199964648,77.9926926238123,2,3.0,1,0,1.0,0,0,0.967741935483871,0,1,0.9572490706319703,0,0,0,1,0,0.9344262295081968,0,0,0.967741935483871,0,0,0.8770491803278688,0,0,0.9629629629629629,1,0,0.9580838323353293,-69.71709852959975
0.75,1,180,0.5,60,2,90,1.5,30,1.5,14,1.5,1,2,0.20578300825214513,792,58,0.20689655172413793,0.07323232323232323,68.46153846153847,-450.0,85.55930850102735,92.88692423223685,2,3.0,1,0,1.0,0,0,0.9831081081081081,0,0,0.9813780260707635,0,0,0,1,0,0.9690721649484536,1,0,0.9841269841269841,0,0,0.9622641509433962,0,0,1.0,1,0,0.9852216748768473,-66.87100164691219
0.75,1,180,0.5,60,2,90,1.5,30,1.5,14,1.5,1,2,0.20578300825214513,793,57,0.19298245614035087,0.07187894073139975,68.57707509881423,-305.99999999999994,76.67367622315302,80.14364813358395,2,3.0,0,0,1.0,1,0,0.9831460674157303,1,0,0.9826589595375722,0,0,0,1,0,0.9717314487632509,0,0,0.9850746268656716,0,0,0.9714285714285714,0,0,1.0,1,0,0.9864364981504316,0
1.25,1,180,0.5,60,1,90,1.5,30,1.5,14,1.5,2,1.5,0.20578300825214513,574,14,0.14285714285714285,0.024390243902439025,80.0,5.000000000000004,94.0,100.0,2,4.0,0,0,1.0,1,0,0.9942528735632183,1,0,0.9937694704049844,0,0,0,0,0,0.9908256880733946,0,0,1.0,0,0,0.987012987012987,1,0,1.0,1,0,0.9966777408637874,0
1.25,1.5,180,0,40,0,90,0.5,20,0.5,14,1,0,1.5,0.10518432320047605,429,37,0.05405405405405406,0.08624708624708624,80.0,5.000000000000004,83.95506485314328,85.65009264734756,3,4.5,0,0,1.0,0,0,0.9920318725099602,1,0,0.9925650557620818,0,0,0,1,0,0.9888268156424581,0,0,1.0,0,0,1.0,0,0,1.0,1,0,0.9960159362549801,0
1.25,0,180,0.5,30,0,90,0,15,0,14,1,2,1.5,0.20578300825214513,484,21,0.14285714285714285,0.04338842975206612,35.714285714285715,14.000000000000002,80.71428571428571,100.0,2,4.0,0,0,1.0,0,0,0.990521327014218,1,0,0.9862385321100917,0,0,0,1,0,0.9888268156424581,0,0,1.0,1,0,0.9833333333333333,0,0,1.0,1,0,0.9940357852882704,-41.88042704069812
1.25,1.5,180,1,60,0,90,0.5,30,0.5,14,1,0,1.5,0.10518432320047605,383,57,0.12280701754385964,0.14882506527415143,35.714285714285715,60.0,78.3920013364479,96.68245088880313,2,4.0,1,0,1.0,0,0,0.9863013698630136,0,1,0.9787234042553191,0,0,0,0,0,0.9798657718120806,0,0,0.9574468085106383,0,0,0.9811320754716981,0,0,0.9444444444444444,1,0,0.9828009828009828,-13.309604586036585
1.25,2,180,0.5,30,0,90,2,15,2,14,0.5,0.5,1.5,0.20578300825214513,563,11,0.09090909090909091,0.019538188277087035,100.0,1.0000000000000009,100.0,100.0,2,4.0,1,0,1.0,0,0,0.996551724137931,0,0,0.9964788732394366,0,0,0,0,0,0.9955156950672646,0,0,1.0,0,0,1.0,0,0,1.0,1,0,0.9983361064891847,0
