HA_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,MACD_WEIGHT,PLUSDI_MINUSDI_WEIGHT,SAR_WEIGHT,SAR_ACC,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,CLOSED
1,200,1.5,40,1,100,0.5,20,0.5,14,1,1,1,2,369,34,0.5588235294117647,0.0921409214092141,65.46558704453442,-2270.0,82.34598681512091,89.58044385965798,1.5,3.5,0,0,1.0,0,0,0.9409448818897638,0,0,0.9333333333333333,0,0,0,1,0,0.9361702127659575,0,0,1.0,1,0,0.8615384615384616,1,0,0.8571428571428571,1,0,0.9569377990430622,-117.94300000001385
1.25,180,0,40,2,90,1,20,1,14,1,0,1.5,2,400,57,0.5964912280701754,0.1425,74.6218487394958,-13485.0,91.86065989479634,99.24872181849659,1.5,3.5,0,0,1.0,1,0,0.9327354260089686,1,0,0.9009009009009009,0,0,0,0,1,0.9455782312925171,0,0,0.9545454545454546,0,0,0.9152542372881356,0,0,0.8620689655172413,1,0,0.9216589861751152,-129.14074348478243
1,180,0,50,0,90,0.5,25,0.5,14,1,2,1,1,673,101,0.5643564356435643,0.150074294205052,56.043956043956044,91.0,82.50772355485293,93.84933820238017,2.5,3.5,1,0,1.0,1,0,0.9452054794520548,1,0,0.9245742092457421,0,0,0,1,0,0.9134199134199135,0,0,0.8732394366197183,0,0,0.8571428571428571,0,0,0.9230769230769231,1,0,0.9259259259259259,-179.39290326400078
1,180,0,40,0,90,1,20,1,14,1,0,1.5,0,400,58,0.3620689655172414,0.145,59.34065934065934,91.0,84.94788223656036,95.92240633480365,2.5,3.0,0,0,1.0,1,0,0.9764705882352941,1,0,0.9585253456221198,0,0,0,0,0,0.9609375,0,0,0.9487179487179487,0,0,0.9464285714285714,0,0,0.9523809523809523,1,0,0.9501187648456056,194.64968834384126
0.75,180,0,30,0.5,90,1.5,15,1.5,14,1.5,0.5,1,1,393,47,0.6170212765957447,0.11959287531806616,58.57142857142858,60.0,76.13124751531765,83.65688420555584,2.5,3.0,0,0,1.0,0,1,0.9553571428571429,0,0,0.9166666666666666,0,0,0,1,0,0.9078014184397163,0,0,0.9302325581395349,0,0,0.9166666666666666,0,0,0.92,1,0,0.9324009324009324,400.96947872532473
0.75,180,0,30,0.5,90,2,15,2,14,1.5,0.5,1,1,390,44,0.5909090909090909,0.11282051282051282,54.94505494505495,91.0,77.40146138627344,87.02563557536706,2.5,3.0,0,0,1.0,1,0,0.9525862068965517,0,0,0.9292929292929293,0,0,0,1,0,0.9064748201438849,0,0,0.8913043478260869,0,0,0.9523809523809523,0,0,0.9166666666666666,1,0,0.9389671361502347,-362.77389760000005
1,180,0,40,0.5,90,1.5,20,1.5,14,0.5,0,2,0,388,65,0.47692307692307695,0.16752577319587628,70.17543859649122,-85.00000000000001,90.08546320002408,98.61833088725245,1.5,2.0,1,0,1.0,0,0,0.9568965517241379,1,0,0.9405940594059405,0,0,0,0,0,0.9548872180451128,0,0,0.9555555555555556,0,0,0.926829268292683,0,0,1.0,1,0,0.9280742459396751,-195.3021940857434
1,180,0,40,0.5,90,0,20,0,14,0.5,0,2,1,800,142,0.4507042253521127,0.1775,68.42105263157895,-85.00000000000001,87.54935179292036,95.74719429063812,2.5,4.0,0,0,1.0,1,0,0.9573170731707317,1,0,0.9529411764705882,0,0,0,0,0,0.94140625,0,0,0.9431818181818182,0,0,0.9318181818181818,0,0,0.9459459459459459,1,0,0.9259259259259259,72.19999999999345
1,180,0,40,0.5,90,0,20,0,14,0.5,0,2,1,800,146,0.4452054794520548,0.1825,100.0,-4.0000000000000036,100.0,100.0,2.5,4.0,0,0,1.0,0,0,0.9591836734693877,0,0,0.954653937947494,0,0,0,0,0,0.9411764705882353,0,0,0.9444444444444444,0,0,0.9318181818181818,0,0,0.9230769230769231,1,0,0.9248554913294798,0
1,180,0,40,0.5,90,0,20,0,14,0.5,0,2,1,800,151,0.44370860927152317,0.18875,71.57894736842105,-85.00000000000001,91.47368421052632,100.0,2.5,4.0,0,0,1.0,1,0,0.9571428571428572,0,0,0.9547619047619048,0,0,0,0,0,0.9404761904761905,0,0,0.9340659340659341,0,0,0.9318181818181818,0,0,0.925,1,0,0.922722029988466,95.71949999999924
1,180,1,40,2,90,2,20,2,14,1.5,1.5,1.5,0,580,102,0.3235294117647059,0.17586206896551723,72.55168010216299,-12329.0,81.28525516720404,85.02821590936448,2.5,4.5,1,0,1.0,1,0,0.9601226993865031,1,0,0.9419889502762431,0,0,0,1,0,0.9631336405529954,0,0,0.9452054794520548,0,0,0.9076923076923077,0,0,0.9545454545454546,1,0,0.9493670886075949,0
1.25,180,1.5,30,0.5,90,2,15,2,14,1,1,2,1,480,26,0.6538461538461539,0.05416666666666667,58.26330532212886,-1585.0000000000002,82.91120868102664,93.47459583483997,1.5,2.5,0,0,1.0,0,0,0.9615384615384616,1,0,0.9436619718309859,0,0,0,0,0,0.9641025641025641,0,0,0.9696969696969697,0,0,0.9047619047619048,0,0,0.9,1,0,0.9671179883945842,159.09137600000395
1.25,180,1.5,30,0.5,90,2,15,2,14,1,1,2,1,482,26,0.7307692307692307,0.05394190871369295,48.582995951417004,-2270.0,73.32788377037848,83.93283569279055,1.5,2.5,1,0,1.0,0,0,0.9642857142857143,0,0,0.9416058394160584,0,0,0,1,0,0.9637305699481865,0,0,0.9696969696969697,0,0,0.9285714285714286,0,0,0.8695652173913043,1,0,0.9633911368015414,-163.99731948800036
1.25,180,1.5,30,0.5,90,2,15,2,14,1,1,2,1,484,27,0.7037037037037037,0.05578512396694215,41.17408906882591,-2270.0,71.25342224315446,84.14456503215241,1.5,2.5,1,0,1.0,0,0,0.9629629629629629,1,0,0.9413919413919414,0,0,0,0,0,0.9635416666666666,0,0,0.96875,0,0,0.925,0,0,0.8695652173913043,1,0,0.9633911368015414,166.2338645691525
