STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,<class '__main__.SAR'>_CONFLUENT,<class '__main__.SAR'>_DIVERGENT,<class '__main__.SAR'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,CLOSED
747,23,0.782608695652174,0.030789825970548863,85.15981735159818,-16006.0,90.34737396938263,92.57061251986167,1.5,2,0,0,1.0,0,0,0.9692982456140351,0,0,0.9642857142857143,0,0,0,0,0,0,1,0,0.9919028340080972,0,0,0,0,0,0.9821428571428571,0,0,0.9793103448275862,0,0,0,0,0,0.8636363636363636,1,0,0.9791666666666666,0,0,0.9781746031746031,-0.20756687496873383
738,35,0.7714285714285715,0.04742547425474255,82.74822190611665,-17375.0,88.7399119500546,91.30777911174229,1.5,2,1,0,1.0,0,0,0.9595959595959596,0,0,1.0,0,0,0,0,0,0,0,1,0.9655172413793104,0,0,0,0,0,0.9649122807017544,0,0,0.9391891891891891,0,0,0,0,0,0.9,1,0,0.9673518742442564,1,0,0.97265625,0.18725477151323844
730,39,0.717948717948718,0.05342465753424658,84.43812233285918,-17375.0,90.40853478585693,92.96728297999883,1.5,2,1,0,1.0,1,0,0.9567307692307693,0,0,1.0,0,0,0,0,0,0,0,0,0.9629629629629629,0,0,0,0,0,0.9655172413793104,0,0,0.9251700680272109,0,0,0,0,0,0.9,1,0,0.966183574879227,1,0,0.9745098039215686,-0.33987721527441295
737,27,0.8518518518518519,0.036635006784260515,79.18923182081076,-18819.0,85.72088646860819,88.52016703194994,1.5,2,1,0,1.0,0,0,0.9585253456221198,0,0,1.0,0,0,0,0,0,0,1,0,0.9902439024390244,0,0,0,0,0,0.95,0,0,0.9703703703703703,0,0,0,0,0,0.9,1,0,0.9720534629404617,1,0,0.9767441860465116,-0.11201031867645383
751,31,0.8064516129032258,0.041278295605858856,70.96657633242998,-21940.0,80.0688870571986,83.96987736781372,1.5,2,0,0,1.0,0,0,0.955,0,0,1.0,0,0,0,0,0,0,0,1,0.9959266802443992,0,0,0,0,0,0.9454545454545454,0,0,0.9714285714285714,0,0,0,0,0,0.8571428571428571,1,0,0.9696969696969697,0,0,0.972972972972973,0.2351069926787659
744,33,0.8787878787878788,0.04435483870967742,80.26968927105726,-25385.0,87.94273382768885,91.23118149481667,1.5,2,0,0,1.0,1,0,0.9540816326530612,0,0,1.0,0,0,0,0,0,0,0,0,0.9938775510204082,0,0,0,0,0,0.9615384615384616,0,0,0.9459459459459459,0,0,0,0,0,0.9444444444444444,1,0,0.9650180940892642,0,0,0.9759036144578314,-0.14436472230363506
735,24,0.875,0.0326530612244898,77.5067038224933,-18819.0,84.55947458400315,87.58209062465025,1.5,2,0,0,1.0,0,0,0.9680851063829787,0,0,1.0,0,0,0,0,0,0,0,0,0.9937369519832986,0,0,0,0,0,0.9622641509433962,0,0,0.9701492537313433,0,0,0,0,0,0.9444444444444444,1,0,0.97442143727162,1,0,0.9777777777777777,-0.35164119900716173
759,3,1.0,0.003952569169960474,78.80811773528309,-85144.0,85.42318079072064,88.25820781447956,1.5,2.0,1,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1,0,0.9949238578680203,0,0,0,0,0,1.0,0,0,0.9918032786885246,0,0,0,0,0,1.0,1,0,0.9962640099626401,1,0,0.994661921708185,-0.2826131082723293
747,3,1.0,0.004016064257028112,85.37799962504687,-85144.0,91.00353243972897,93.41447507459273,1.5,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1,0,0.9959514170040485,0,0,0,0,0,0.9761904761904762,0,0,1.0,0,0,0,0,0,1.0,1,0,0.9962640099626401,0,0,0.9953161592505855,0.3535834964403364
749,5,0.8,0.006675567423230975,83.99485688729875,-89240.0,90.01035776356457,92.5884295676785,1.5,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0.9939393939393939,0,0,0,1,0,0.9767441860465116,0,0,1.0,0,0,0,0,0,1.0,1,0,0.9950248756218906,1,0,0.9945155393053017,0.43352240197279457
