HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,ADOSC_WEIGHT,PLUSDI_MINUSDI_WEIGHT,VOLUME_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
0.5,2,180,50,60,0.5,100,1,50,0.5,50,0.5,14,1,14,1,1,1,0.5,1,788,22,0.18181818181818182,0.027918781725888325,86.66666666666667,30.000000000000004,84.67974015633288,83.355122482777,1.5,2,0,0,1.0,1,0,0.9966216216216216,0,0,0,1,0,0.9946808510638298,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,1,0,1.0,0,0,0.989501312335958,0,0,0,-0.1712135703785691
0,2,180,50,40,0.5,100,1,50,0.5,50,0.5,14,2,14,2,1,1.5,0.5,1.5,704,9,0.3333333333333333,0.01278409090909091,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2,0,0,1.0,0,0,0.997093023255814,0,0,0,1,0,0.9947368421052631,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,1.0,1,0,0.9919354838709677,0,0,0,0.18867406128683228
0,2,180,50,40,0.5,100,1,50,0.5,50,0.5,14,2,14,2,1,1.5,0.5,1.5,697,11,0.36363636363636365,0.015781922525107604,46.666666666666664,30.000000000000004,78.66666666666666,100.0,1.5,2,0,0,1.0,1,0,0.9944598337950139,0,0,0,1,0,0.9929824561403509,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,1,0,0.9975550122249389,0,0,0.9924050632911392,0,0,0,0.3100073784457038
0,2,180,50,40,0.5,100,1,50,0.5,50,0.5,14,2,14,2,1,1.5,0.5,1.5,723,8,0.375,0.011065006915629323,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2,0,0,1.0,0,0,0.9976580796252927,0,0,0,1,0,0.9946140035906643,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.9977324263038548,1,0,0.994475138121547,0,0,0,0.18570421366177925
0,2,180,50,40,0.5,100,1,50,0.5,50,0.5,14,2,14,2,1,1.5,0.5,1.5,737,6,0.16666666666666666,0.008141112618724558,100.0,1.0000000000000009,100.0,100.0,1.5,2,1,0,1.0,1,0,1.0,0,0,0,1,0,0.9981549815498155,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,1,0,1.0,0,0,0.9976303317535545,0,0,0,-0.14605432843910648
0,2,180,70,40,1,140,1,70,0,70,0,14,1,17,1,0.5,1,0,1,800,13,0.23076923076923078,0.01625,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,3.5,1,0,1.0,1,0,0.9932126696832579,0,0,0,1,0,0.9964028776978417,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,1.0,1,0,0.9954128440366973,0,0,0,0.18701117695434277
0,2,180,70,40,0,140,1,70,1,70,1,14,0.5,17,1,1.5,0.5,1,0.5,724,29,0.1724137931034483,0.04005524861878453,100.0,55.00000000000001,100.0,100.0,1.5,2.0,0,0,1.0,0,0,0.9949494949494949,0,0,0,1,0,0.9924812030075187,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,0,0,1.0,1,0,0.9875621890547264,0,0,0,-0.17456263333005495
0,2,180,50,40,0.5,100,1,50,0.5,50,0.5,14,2,14,2,1,1.5,0.5,1.5,726,9,0.1111111111111111,0.012396694214876033,100.0,1.0000000000000009,100.0,100.0,1.5,2,1,0,1.0,1,0,1.0,0,0,0,1,0,0.998165137614679,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9975369458128078,0,0,0,-0.16457546205168683
0,0,180,50,40,2,100,1,50,0.5,50,0.5,14,2,20,1,2,1,0.5,1,778,16,0.3125,0.02056555269922879,45.45454545454545,55.00000000000001,72.38232908135191,90.33418483255625,3,5.0,0,0,1.0,1,0,0.9936842105263158,0,0,0,1,0,0.9907749077490775,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,1,0,0.994392523364486,0,0,0.9925925925925926,0,0,0,-0.1410857610720484
0,0,180,70,50,1.5,140,1,70,0,70,0,14,2,14,1.5,0.5,1,0,1,800,12,0.3333333333333333,0.015,43.333333333333336,30.000000000000004,75.61401997508247,97.13447773624854,1.5,3.5,0,1,1.0,1,0,0.9964349376114082,0,0,0,1,0,0.9949152542372881,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.996,1,0,0.993421052631579,0,0,0,-0.08291314828218788
