HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,ADOSC_WEIGHT,PLUSDI_MINUSDI_WEIGHT,VOLUME_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1,0,200,50,40,0,100,1,50,0.5,50,0.5,14,1,20,0.5,1.5,1,0.5,1,591,30,0.36666666666666664,0.050761421319796954,68.77470355731225,-305.99999999999994,83.97664548735015,94.11127344070874,2.5,3.0,0,0,1.0,0,0,0.984,0,0,0,1,0,0.9834162520729685,0,0,0,0,0,0,1,0,0.9864364981504316,0,0,0,0,0,0,1,0,0.9820051413881749,0,0,0.990521327014218,0,0,0,-0.7381685626027092
1,0,200,50,40,0,100,1,50,0.5,50,0.5,14,1,20,0.5,1.5,1,0.5,1,560,33,0.3333333333333333,0.05892857142857143,80.8300395256917,-305.99999999999994,76.49690747122497,73.60815276824715,2.5,3.0,0,0,1.0,0,0,0.9830148619957537,0,0,0,1,0,0.9837133550488599,0,0,0,0,0,0,1,0,0.9864364981504316,0,0,0,0,0,0,0,0,0.981029810298103,1,0,0.9909502262443439,0,0,0,-0.294314784422923
1,0,200,50,40,0,100,1,50,0.5,50,0.5,14,1,20,0.5,1.5,1,0.5,1,565,33,0.30303030303030304,0.0584070796460177,81.03896103896105,-185.0,76.2982342436885,73.1377497135068,2.5,3.0,0,1,1.0,1,0,0.9846827133479212,0,0,0,1,0,0.9852700490998363,0,0,0,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,1,0,0.9809264305177112,0,0,0.9932279909706546,0,0,0,-0.38859616451213697
1,2,180,60,60,0.5,120,1,60,0.5,60,0.5,14,2,14,0,1,0,0.5,0,727,26,0.23076923076923078,0.03576341127922971,59.34065934065934,91.0,82.17767282789673,97.402348486055,2.5,3.0,0,0,1.0,1,0,0.9927536231884058,0,0,0,1,0,0.9912739965095986,0,0,0,0,0,0,1,0,0.9925558312655087,0,0,0,0,0,0,0,0,0.992462311557789,1,0,0.9926470588235294,0,0,0,0.4417945016031837
1,0,200,60,50,0,120,1,60,0,60,0,14,1,20,0.5,0.5,1,0,1,746,29,0.2413793103448276,0.0388739946380697,64.28571428571429,60.0,85.17062668901868,99.09390162455493,3,3.5,0,1,1.0,1,0,0.9929078014184397,0,0,0,0,0,0.9931506849315068,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,0,0,0.9926289926289926,1,0,0.9949748743718593,0,0,0,0.38620197435811576
1.5,2,180,50,60,0.5,100,2,50,0,50,0,14,2,17,2,1.5,0,0,0,738,16,0.1875,0.02168021680216802,35.714285714285715,14.000000000000002,74.28571428571429,100.0,2,2.5,0,0,1.0,1,0,0.9960079840319361,0,0,0,1,0,0.9966101694915255,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.9968553459119497,1,0,0.9979338842975206,0,0,0,0.3989242789666463
1.5,2,180,50,60,0.5,100,2,50,0,50,0,14,2,17,2,1.5,0,0,0,762,10,0.3,0.013123359580052493,35.714285714285715,14.000000000000002,74.28571428571429,100.0,2,2.5,0,0,1.0,1,0,0.9952718676122931,0,0,0,1,0,0.9964093357271095,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,1.0,1,0,0.995249406175772,0,0,0,0.16973739088392392
0,1,180,70,30,0,140,0.5,70,0.5,70,0.5,14,2,17,0.5,0.5,1,0.5,1,717,4,0.25,0.005578800557880056,100.0,1.0000000000000009,100.0,100.0,1.5,2.5,1,0,1.0,1,0,0.9979591836734694,0,0,0,1,0,0.9982876712328768,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9981684981684982,0,0,0,-0.7369362003128117
0,1,180,70,30,0,140,0.5,70,0.5,70,0.5,14,2,17,0.5,0.5,1,0.5,1,723,6,0.16666666666666666,0.008298755186721992,100.0,1.0000000000000009,100.0,100.0,1.5,2.5,1,0,1.0,0,0,0.99800796812749,0,0,0,1,0,0.9983361064891847,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,1,0,1.0,0,0,0.9981949458483754,0,0,0,-0.5306834962705693
0,0,180,70,60,0.5,140,1,70,0,70,0,14,2,14,2,0,0,0,0,800,10,0.5,0.0125,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2.5,4.0,0,0,1.0,1,0,0.9916839916839917,0,0,0,1,0,0.9918166939443536,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,0,0,0.9972527472527473,1,0,0.9909297052154195,0,0,0,0.5187686844874548
2,0,180,70,60,1.5,140,1,70,0,70,0,14,0.5,23,0,1.5,0,0,0,783,14,0.14285714285714285,0.017879948914431672,100.0,5.000000000000004,100.0,100.0,2.5,4.0,1,0,1.0,0,0,0.9979550102249489,0,0,0,0,1,0.998220640569395,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,0,1.0,0,1,0.9978213507625272,0,0,0,0.9185251090491136
0,2,180,50,60,2,100,0.5,50,1,50,1,14,1.5,17,1,0.5,1,1,1,800,30,0.2,0.0375,94.5054945054945,91.0,94.31861743013322,94.19403271322571,1.5,2.5,1,0,1.0,0,0,0.9883040935672515,0,0,0,1,0,0.9895470383275261,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,0,0,0.9955056179775281,1,0,0.9889196675900277,0,0,0,-0.1610461397201135
0,2,180,50,60,2,100,0.5,50,1,50,1,14,1.5,17,1,0.5,1,1,1,800,32,0.1875,0.04,94.5054945054945,91.0,94.31861743018169,94.19403271330647,1.5,2.5,0,0,1.0,1,0,0.988394584139265,0,0,0,1,0,0.9897084048027445,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,1,0,0.9955156950672646,0,0,0.9888888888888889,0,0,0,-0.23521400415303617
0,2,180,50,60,2,100,0.5,50,1,50,1,14,1.5,17,1,0.5,1,1,1,800,35,0.17142857142857143,0.04375,94.5054945054945,91.0,94.31861743006111,94.19403271310553,1.5,2.5,0,0,1.0,1,0,0.9883720930232558,0,0,0,1,0,0.989778534923339,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,0,0,0.9954853273137697,1,0,0.9889807162534435,0,0,0,-0.4533709691350225
0,2,180,50,40,1,100,0.5,50,0.5,50,0.5,14,1.5,20,1,0.5,1,0.5,1,780,9,0.1111111111111111,0.011538461538461539,100.0,1.0000000000000009,100.0,100.0,1.5,2.5,1,0,1.0,1,0,0.9979123173277662,0,0,0,1,0,0.9983108108108109,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0.9973753280839895,0,0,0,-0.38541622897665206
1.5,1.5,180,70,40,0.5,140,2,70,0,70,0,14,0.5,23,2,0.5,2,0,2,677,23,0.13043478260869565,0.033973412112259974,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.5,0,0,1.0,1,0,0.99375,0,0,0,1,0,0.9946808510638298,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,1,0,0.995249406175772,0,0,0.9973821989528796,0,0,0,0.9828558506431904
1,2,180,70,60,1.5,140,0,70,1,70,1,14,0,20,0.5,1,1,1,1,795,49,0.20408163265306123,0.061635220125786164,75.32467532467533,-185.0,82.80341492239714,87.78924132087836,1.5,3.5,1,0,1.0,1,0,0.9789029535864979,0,0,0,1,0,0.9825783972125436,0,0,0,0,0,0,0,1,0.9900990099009901,0,0,0,0,0,0,1,0,0.981941309255079,0,0,0.9945504087193461,0,0,0,-0.16123030045353914
1,2,180,70,60,1.5,140,0,70,1,70,1,14,0,20,0.5,1,1,1,1,795,53,0.20754716981132076,0.06666666666666667,62.450592885375485,-305.99999999999994,79.763655386442,91.30569705381969,1.5,3.5,0,0,1.0,1,0,0.9775051124744376,0,0,0,1,0,0.9813874788494078,0,0,0,0,0,0,1,0,0.9888751545117429,0,0,0,0,0,0,0,0,0.9819004524886877,1,0,0.991869918699187,0,0,0,-0.5869996055979527
1,0,180,70,60,1.5,140,0,70,1,70,1,14,0,23,0.5,1,1,1,1,796,35,0.2857142857142857,0.04396984924623116,57.92207792207792,-185.0,75.61958349230345,87.41792053912046,2.5,4.0,0,1,1.0,1,0,0.9775784753363229,0,0,0,1,0,0.9828473413379074,0,0,0,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,1,0,0.9790794979079498,0,0,1.0,0,0,0,-0.37520450805854466
2,0,180,70,60,1,140,2,70,1,70,1,14,0,14,2,2,1,1,1,739,26,0.19230769230769232,0.035182679296346414,54.54545454545454,55.00000000000001,81.81818181818181,100.0,1.5,3.0,0,1,1.0,1,0,0.9889135254988913,0,0,0,1,0,0.9913793103448276,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,1,0,0.9897540983606558,0,0,1.0,0,0,0,0.5127699873922467
2,0,180,70,60,1,140,2,70,1,70,1,14,0,14,2,2,1,1,1,741,26,0.23076923076923078,0.03508771929824561,60.43956043956044,91.0,84.17582417582418,100.0,1.5,3.0,0,0,1.0,0,0,0.9891540130151844,0,0,0,1,0,0.9893992932862191,0,0,0,0,0,0,1,0,0.9925558312655087,0,0,0,0,0,0,0,0,0.9889380530973452,1,0,0.9971751412429378,0,0,0,-0.8465884582923024
2,0,180,50,60,0.5,100,0,50,1,50,1,14,0,14,2,2,1,1,1,774,41,0.2682926829268293,0.05297157622739018,40.11857707509881,-305.99999999999994,75.87473778342124,99.7121782556362,3,5.0,0,0,1.0,0,1,0.9886877828054299,0,0,0,0,0,0.9857904085257548,0,0,0,0,0,0,1,0,0.9864364981504316,0,0,0,0,0,0,1,0,0.981941309255079,0,0,0.9918478260869565,0,0,0,0.7820441792551662
0,0,180,50,50,0.5,100,0,50,1,50,1,14,0,17,2,2,1,1,1,753,14,0.14285714285714285,0.01859229747675963,100.0,5.000000000000004,100.0,100.0,2,3.0,1,0,1.0,0,0,0.9976415094339622,0,0,0,1,0,0.996268656716418,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,1,0,0.9953051643192489,0,0,1.0,0,0,0,0.5860199751586919
0,0,180,60,60,0,120,0,60,2,60,2,14,1,20,2,0,0.5,2,0.5,766,9,0.4444444444444444,0.01174934725848564,46.666666666666664,30.000000000000004,78.66666666666666,100.0,3,5.0,0,1,1.0,0,0,0.9954545454545455,0,0,0,1,0,0.9927272727272727,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,0,0.9939148073022313,1,0,0.9967845659163987,0,0,0,0.953005524838332
0,0,180,60,60,0,120,0,60,2,60,2,14,1,20,2,0,0.5,2,0.5,763,11,0.45454545454545453,0.014416775884665793,54.54545454545454,55.00000000000001,81.81818181818181,100.0,3,5.0,0,1,1.0,0,0,0.9957537154989384,0,0,0,1,0,0.9912891986062717,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,1,0,0.992462311557789,0,0,0.995085995085995,0,0,0,-0.35919554186781966
0,0,180,50,50,0.5,100,2,50,0.5,50,0.5,14,1,17,2,1.5,1,0.5,1,655,15,0.3333333333333333,0.022900763358778626,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2,3.0,0,1,1.0,1,0,0.9935344827586207,0,0,0,1,0,0.9913194444444444,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,0,0,0.9923273657289002,1,0,0.9951690821256038,0,0,0,-0.3115561473926505
0,0,180,50,50,0.5,100,2,50,0.5,50,0.5,14,1,17,2,1.5,1,0.5,1,669,16,0.375,0.02391629297458894,60.43956043956044,91.0,84.17582417582418,100.0,3,3.5,0,0,1.0,1,0,0.990990990990991,0,0,0,1,0,0.989492119089317,0,0,0,0,0,0,1,0,0.9925558312655087,0,0,0,0,0,0,0,0,0.9922480620155039,1,0,0.9928400954653938,0,0,0,0.7896466918135729
0,0,180,50,50,0.5,100,2,50,0.5,50,0.5,14,1,17,2,1.5,1,0.5,1,645,17,0.35294117647058826,0.02635658914728682,60.43956043956044,91.0,84.17582417582418,100.0,3,3.5,0,1,1.0,1,0,0.9903846153846154,0,0,0,1,0,0.9898819561551433,0,0,0,0,0,0,1,0,0.9925558312655087,0,0,0,0,0,0,0,0,0.9945054945054945,1,0,0.9909502262443439,0,0,0,-0.7146250264180622
0,0,180,50,50,0.5,100,2,50,0.5,50,0.5,14,1,17,2,1.5,1,0.5,1,643,18,0.3888888888888889,0.027993779160186624,39.285714285714285,60.0,75.71428571428571,100.0,3,3.5,0,0,1.0,0,0,0.9906191369606003,0,0,0,1,0,0.9882943143812709,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,1,0,0.9913294797687862,0,0,0.9913232104121475,0,0,0,-0.6082158062513798
0,2,180,50,60,0,100,1,50,1,50,1,14,1,14,0,0.5,0,1,0,667,8,0.125,0.01199400299850075,100.0,1.0000000000000009,100.0,100.0,1.5,2.0,1,0,1.0,1,0,0.998046875,0,0,0,1,0,0.998371335504886,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0.9961538461538462,1,0,1.0,0,0,0,0.23747247597981413
1,1.5,180,50,40,0,100,0,50,1.5,50,1.5,14,1,20,0.5,2,1.5,1.5,1.5,786,60,0.26666666666666666,0.07633587786259542,94.78609625668449,-1296.0,95.71786306954633,96.33904094478754,3,3.5,0,0,1.0,0,0,0.9799196787148594,0,0,0,0,0,0.9741518578352181,0,0,0,0,0,0,1,0,0.9803921568627451,0,0,0,0,0,0,1,0,0.9919354838709677,0,0,0.9753521126760564,0,0,0,0.7981242195813394
1,2,180,70,50,0,140,1,70,0.5,70,0.5,14,1,23,0.5,0,1.5,0.5,1.5,761,10,0.1,0.013140604467805518,100.0,1.0000000000000009,100.0,100.0,2.5,4.5,1,0,1.0,1,0,0.9974747474747475,0,0,0,1,0,0.9981684981684982,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,0,1.0,1,0,0.9973544973544973,0,0,0,-0.23354671246460157
0,0,180,60,60,0.5,120,1,60,2,60,2,14,0.5,17,2,1.5,1.5,2,1.5,797,23,0.30434782608695654,0.028858218318695106,64.28571428571429,60.0,85.36144033943799,99.4119243752538,1.5,2.5,0,0,1.0,1,0,0.9951807228915662,0,0,0,1,0,0.9927007299270073,0,0,0,0,0,0,1,0,0.9913258983890955,0,0,0,0,0,0,0,0,0.9977324263038548,1,0,0.9836065573770492,0,0,0,-0.30415006847867687
0,0,180,60,40,0.5,120,1,60,2,60,2,14,0.5,17,2,1.5,2,2,2,798,10,0.1,0.012531328320802004,100.0,1.0000000000000009,100.0,100.0,1.5,2.5,0,0,1.0,1,0,1.0,0,0,0,1,0,0.9981981981981982,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9977426636568849,0,0,0,-0.12280266255035599
0,2,180,40,60,0.5,80,1,40,0,40,0,14,1,20,0.5,1,0.5,0,0.5,800,9,0.2222222222222222,0.01125,100.0,5.000000000000004,100.0,100.0,1.5,2.5,1,0,1.0,0,0,0.9980732177263969,0,0,0,0,1,0.9982698961937716,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,1,1.0,0,0,0.9979381443298969,0,0,0,0.297738163743162
2,1.5,180,40,60,0.5,80,1,40,0,40,0,14,1,23,0.5,0.5,1,0,1,738,16,0.25,0.02168021680216802,100.0,30.000000000000004,100.0,100.0,2.5,3.0,1,0,1.0,0,0,0.9941291585127201,0,0,0,0,0,0.9948364888123924,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,0,1,0.996996996996997,0,0,0.9957446808510638,0,0,0,-0.7840389052578871
2,1.5,180,40,60,0.5,80,1,40,0,40,0,14,1,23,0.5,0.5,1,0,1,747,18,0.2777777777777778,0.024096385542168676,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2.5,3.0,0,0,1.0,1,0,0.9916142557651991,0,0,0,1,0,0.9930795847750865,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,1,0,0.994475138121547,0,0,0.995475113122172,0,0,0,0.4729608874603173
2,1.5,180,40,60,0.5,80,1,40,0,40,0,14,1,23,0.5,0.5,1,0,1,747,20,0.25,0.02677376171352075,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2.5,3.0,0,0,1.0,1,0,0.9910514541387024,0,0,0,1,0,0.9930191972076788,0,0,0,0,0,0,1,0,0.9937888198757764,0,0,0,0,0,0,1,0,0.9921671018276762,0,0,0.997624703087886,0,0,0,-0.9137554386441309
0,0,180,70,30,0,140,1,70,0,70,0,14,0.5,20,0.5,2,1.5,0,1.5,800,6,0.16666666666666666,0.0075,100.0,1.0000000000000009,100.0,100.0,1.5,3.0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.9981024667931688,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9976525821596244,0,0,0,-0.46356648408544743
0,1.5,180,50,60,0,100,1,50,0.5,50,0.5,14,1,23,0.5,0,1.5,0.5,1.5,794,14,0.2857142857142857,0.017632241813602016,46.666666666666664,30.000000000000004,78.66666666666666,100.0,2.5,3.0,0,0,1.0,0,0,0.9933333333333333,0,0,0,1,0,0.9930434782608696,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,0,0.9946808510638298,1,0,0.9953271028037384,0,0,0,-0.6731123665303755
