HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1.25,2,195,50,50,1,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0,689,29,0.8620689655172413,0.0420899854862119,71.31221719457014,-5325.0,77.11841145728806,80.98920763243335,1.5,2,0,0,1.0,0,0,0.9893617021276596,0,0,0,1,0,0.9771929824561404,0,0,0,0,0,0,1,0,0.967741935483871,0,0,0,0,0,0,1,0,0.9775280898876404,0,0,0.9663461538461539,0,0,0,0.21793485008217317
1.25,2,195,50,50,1,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0,689,32,0.84375,0.04644412191582003,73.31890331890332,-6730.0,79.21166970087651,83.14018062219198,1.5,2,1,0,1.0,0,0,0.9890829694323144,0,0,0,0,1,0.9771929824561404,0,0,0,0,0,0,1,0,0.9652509652509652,0,0,0,0,0,0,0,1,0.9775280898876404,0,0,0.9640287769784173,0,0,0,0.23190106012455658
1.25,2,195,50,50,1,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0,690,40,0.8,0.057971014492753624,59.03846153846154,-11240.0,70.37576385626491,77.93396540146715,1.5,2,0,0,1.0,1,0,0.9868131868131869,0,0,0,1,0,0.9753954305799648,0,0,0,0,0,0,1,0,0.959079283887468,0,0,0,0,0,0,1,0,0.9747899159663865,0,0,0.9594272076372315,0,0,0,0.27950884916799623
0.75,2,195,50,50,0,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0.5,604,15,0.7333333333333333,0.024834437086092714,67.98418972332016,-305.99999999999994,83.08569401043134,93.15336353517213,1.5,2,0,0,1.0,0,0,0.9888888888888889,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,1,0,0.985545335085414,0,0,0,0,0,0,0,0,0.9831460674157303,1,0,0.9900990099009901,0,0,0,0.2415989251188222
0.75,2,195,50,50,0,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0.5,605,14,0.7142857142857143,0.023140495867768594,70.64935064935065,-185.0,86.5067263022535,97.0783100708554,1.5,2,0,0,1.0,1,0,0.988479262672811,0,0,0,1,0,0.9895652173913043,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,1,0,0.9851190476190477,0,0,0.9905437352245863,0,0,0,0.1720010152887852
0.75,2,195,50,50,0,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0.5,594,14,0.7142857142857143,0.02356902356902357,73.76623376623377,-185.0,89.40343543071283,99.82823654036554,1.5,2,0,0,1.0,0,0,0.9872122762148338,0,0,0,1,0,0.9888888888888889,0,0,0,0,0,0,1,0,0.9868421052631579,0,0,0,0,0,0,0,0,0.9870466321243523,1,0,0.9892761394101877,0,0,0,0.5549104160389646
0.75,2,195,50,50,0,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0.5,595,6,1.0,0.010084033613445379,60.43956043956044,91.0,84.17582417582418,100.0,1.5,2,0,0,1.0,0,0,0.9930875576036866,0,0,0,0,0,0.9929203539823008,0,0,0,0,0,0,1,0,0.9920634920634921,0,0,0,0,0,0,1,0,0.9904761904761905,0,0,0.9931972789115646,0,0,0,0.22427473293386413
0.75,2,195,50,50,0,100,1,50,0.5,50,0.5,14,1,14,1,1,0.5,0.5,594,6,1.0,0.010101010101010102,60.43956043956044,91.0,84.17582417582418,100.0,1.5,2,0,0,1.0,1,0,0.9912280701754386,0,0,0,1,0,0.9927797833935018,0,0,0,0,0,0,1,0,0.9920634920634921,0,0,0,0,0,0,0,0,0.9903536977491961,1,0,0.9932584269662922,0,0,0,-0.2597684046860991
1.25,1.5,205,70,60,0.5,140,1,70,0,70,0,14,0.5,14,0.5,0.5,0,0,724,31,0.7096774193548387,0.04281767955801105,72.06851119894598,-3595.0000000000005,78.02567359881546,81.99711519872844,3,3.5,1,0,1.0,1,0,0.97131931166348,0,0,0,1,0,0.9774696707105719,0,0,0,0,0,0,0,1,0.9765625,0,0,0,0,0,0,0,0,0.9887218045112782,1,0,0.9779116465863453,0,0,0,-0.26524156501872653
1.25,1.5,205,70,60,0.5,140,1,70,0,70,0,14,0.5,14,0.5,0.5,0,0,726,24,0.7083333333333334,0.03305785123966942,62.35294117647059,-1585.0000000000002,71.87178373008679,78.21767876583094,3,3.5,0,0,1.0,0,0,0.9744597249508841,0,0,0,1,0,0.9769094138543517,0,0,0,0,0,0,1,0,0.9829619921363041,0,0,0,0,0,0,1,0,0.9931740614334471,0,0,0.9765957446808511,0,0,0,-0.46107810369272784
