HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,MACD_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.MACD'>_CONFLUENT,<class '__main__.MACD'>_DIVERGENT,<class '__main__.MACD'>_ACCEPTANCE_RATE,<class '__main__.ADOSC'>_CONFLUENT,<class '__main__.ADOSC'>_DIVERGENT,<class '__main__.ADOSC'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,<class '__main__.VOLUME'>_CONFLUENT,<class '__main__.VOLUME'>_DIVERGENT,<class '__main__.VOLUME'>_ACCEPTANCE_RATE,CLOSED
1.25,0,200,50,60,0,100,1.5,50,0.5,50,0.5,14,1,15,0.5,2,0.5,1,800,40,0.35,0.05,83.74384236453201,-815.0,86.3912291139908,88.15615361362998,2.5,3.0,0,0,1.0,0,0,0.9832985386221295,0,0,0,0,0,0.9834162520729685,0,0,0,0,0,0,1,0,0.9828009828009828,0,0,0,0,0,0,1,0,0.9819587628865979,0,0,0.9835680751173709,0,0,0,0.4223562962865799
1.25,0,200,50,60,0,100,1.5,50,0.5,50,0.5,14,1,15,0.5,2,0.5,1,800,44,0.36363636363636365,0.055,56.81818181818182,-1296.0,75.62096489287269,88.15615360933327,2.5,3.0,0,0,1.0,0,1,0.9835051546391752,0,0,0,0,0,0.9820846905537459,0,0,0,0,0,0,1,0,0.9803921568627451,0,0,0,0,0,0,0,0,0.9800995024875622,1,0,0.9806763285024155,0,0,0,0.14771962173048792
1.25,0,200,50,60,0,100,1.5,50,0.5,50,0.5,14,1,15,0.5,2,0.5,1,800,50,0.38,0.0625,53.56275303643725,-2270.0,75.2365760402643,89.68579137614901,2.5,3.0,0,1,1.0,1,0,0.9790356394129979,0,0,0,1,0,0.978369384359401,0,0,0,0,0,0,1,0,0.9768009768009768,0,0,0,0,0,0,1,0,0.9740932642487047,0,0,0.9792147806004619,0,0,0,0.4405301827697201
0.5,0,180,40,40,0,80,0.5,40,1,40,1,14,1,14,1,2,1,1,770,37,0.2702702702702703,0.048051948051948054,67.53246753246754,-185.0,84.2994280579904,95.47740174167231,2.5,3.5,0,1,1.0,1,0,0.9873949579831933,0,0,0,1,0,0.9852459016393442,0,0,0,0,0,0,1,0,0.9876543209876543,0,0,0,0,0,0,0,0,0.9836065573770492,1,0,0.990990990990991,0,0,0,-0.16903184849799402
0.75,0,180,50,60,0,100,1.5,50,1,50,1,14,1,16,1,2,1,2,800,46,0.34782608695652173,0.0575,65.44117647058823,-1296.0,75.9254770031286,82.91501069148886,1.5,2.0,0,0,1.0,0,0,0.9835051546391752,0,0,0,1,0,0.9805194805194806,0,0,0,0,0,0,1,0,0.9803921568627451,0,0,0,0,0,0,0,0,0.9837837837837838,1,0,0.9775784753363229,0,0,0,-0.2714956952339236
1,0,180,50,40,0,100,0.5,50,1,50,1,14,1,15,1,2,1,1.5,788,39,0.28205128205128205,0.04949238578680203,64.62450592885376,-305.99999999999994,78.92255557154144,88.45458866666657,1.5,2.5,0,1,1.0,1,0,0.984304932735426,0,0,0,1,0,0.9836601307189542,0,0,0,0,0,0,1,0,0.9864364981504316,0,0,0,0,0,0,1,0,0.978319783197832,0,0,0.9932126696832579,0,0,0,-0.28987500594247706
0.75,1.5,180,50,60,0.5,100,0.5,50,0,50,0,14,2,16,1,1,0,0,681,18,0.16666666666666666,0.02643171806167401,92.85714285714286,14.000000000000002,94.66673181763971,95.87312445797095,3,3.5,0,0,1.0,1,0,0.9953596287703016,0,0,0,1,0,0.9948979591836735,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,0.9973958333333334,1,0,0.9976076555023924,0,0,0,-0.5426643868697738
0.5,1,180,70,40,1,140,1.5,70,0,70,0,14,1.5,14,0,0,0,0.5,679,27,0.037037037037037035,0.039764359351988215,100.0,1.0000000000000009,100.0,100.0,2,3.0,1,0,1.0,0,0,1.0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,-0.28400353747149154
0.5,1,180,70,40,1,140,1.5,70,0,70,0,14,1.5,14,0,0,0,0.5,675,29,0.06896551724137931,0.04296296296296296,20.0,5.000000000000004,68.0,100.0,2,3.0,1,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,0,1,1.0,0,0,0,-0.32656832145731585
1,2,180,50,60,0,100,0.5,50,0,50,0,14,2,16,1,1,0,0,800,10,0.2,0.0125,20.0,5.000000000000004,68.0,100.0,2,3.5,0,0,1.0,0,0,1.0,0,0,0,1,0,0.9981949458483754,0,0,0,0,0,0,1,0,0.9975062344139651,0,0,0,0,0,0,0,0,1.0,1,0,0.9976133651551312,0,0,0,0.30658899442930476
1,2,180,70,60,1.5,140,0.5,70,0,70,0,14,1,14,0,1.5,0,2,766,20,0.15,0.02610966057441253,100.0,14.000000000000002,100.0,100.0,1.5,2.0,0,0,1.0,1,0,0.9927360774818402,0,0,0,1,0,0.9942748091603053,0,0,0,0,0,0,1,0,0.9962640099626401,0,0,0,0,0,0,0,0,1.0,1,0,0.9931662870159453,0,0,0,0.3407086393834362
1,2,180,70,60,1.5,140,0.5,70,0,70,0,14,1,14,0,1.5,0,2,766,24,0.16666666666666666,0.031331592689295036,100.0,30.000000000000004,100.0,100.0,1.5,2.0,0,0,1.0,0,0,0.990632318501171,0,0,0,1,0,0.9924812030075187,0,0,0,0,0,0,1,0,0.9950248756218906,0,0,0,0,0,0,0,0,1.0,1,0,0.9918864097363083,0,0,0,-0.46530453602048283
1.25,2,180,70,50,0,140,1,70,0,70,0,14,2,14,1.5,1,0,0.5,742,6,0.16666666666666666,0.008086253369272238,100.0,1.0000000000000009,100.0,100.0,1.5,3.0,1,0,1.0,1,0,0.9980119284294234,0,0,0,1,0,0.9982876712328768,0,0,0,0,0,0,1,0,0.9987515605493134,0,0,0,0,0,0,0,0,1.0,1,0,0.9981684981684982,0,0,0,-0.7369362003128117
