HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,CLOSED
1.25,1.5,200,50,40,0.5,100,1,50,1,50,1,14,1,14,2,1,0.5,727,9,0.8888888888888888,0.012379642365887207,55.88235294117647,-4.0000000000000036,71.45368926899066,81.83458015420013,1.5,2,0,0,1.0,0,0,0.9917355371900827,1,0,0.9894459102902374,1,0,0.9926062846580407,0,0,0,0,0,1.0,0,0,0,0,0,0.9900744416873449,1,0,0.9915254237288136,0.15008891273373592
1.25,1.5,200,50,40,0.5,100,1,50,1,50,1,14,1,14,2,1,0.5,727,6,0.8333333333333334,0.008253094910591471,54.54545454545454,55.00000000000001,81.81818181818181,100.0,1.5,2,1,0,1.0,1,0,0.9974226804123711,1,0,0.9933774834437086,1,0,0.996268656716418,0,0,0,0,0,1.0,0,0,0,1,0,0.9952941176470588,0,0,0.990909090909091,0.2095242470772405
1.5,2,190,50,50,0,100,0,50,0.5,50,0.5,14,1,14,1,0.5,2,693,5,1.0,0.007215007215007215,54.54545454545454,55.00000000000001,81.81818181818181,100.0,2.5,3.0,1,0,1.0,0,0,0.9896103896103896,1,0,0.9933774834437086,1,0,0.9906191369606003,0,0,0,0,0,1.0,0,0,0,0,0,0.9899244332493703,1,0,0.9972067039106145,0.2553582652113562
1.5,2,190,50,50,0,100,0,50,0.5,50,0.5,14,1,14,1,0.5,2,663,6,1.0,0.00904977375565611,60.43956043956044,91.0,84.17582417582418,100.0,2.5,3.0,0,0,1.0,0,0,0.9917184265010351,0,1,0.9933774834437086,0,0,0.9904580152671756,0,0,0,0,0,1.0,0,0,0,1,0,0.9858356940509915,0,0,0.9975186104218362,0.2543941565738521
0.75,2,200,50,60,0,100,0.5,50,1,50,1,14,0.5,14,1,1,0.5,628,2,1.0,0.0031847133757961785,20.0,5.000000000000004,68.0,100.0,3,5.0,0,0,1.0,0,0,1.0,1,0,0.9973404255319149,1,0,0.9961013645224172,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1,0,0.9947089947089947,-0.31586125600813375
1,0,195,70,50,0,140,0,70,1,70,1,14,2,14,2,1,0,557,2,1.0,0.003590664272890485,20.0,5.000000000000004,68.0,100.0,2,3.5,0,0,1.0,0,0,1.0,0,1,1.0,0,0,1.0,0,0,0,1,0,0.9847328244274809,0,0,0,0,1,1.0,0,0,1.0,-0.179365993317532
0.75,0,195,40,50,0.5,80,0,40,1,40,1,14,2,14,2,1,0,684,7,0.8571428571428571,0.01023391812865497,54.94505494505495,91.0,78.03059267844131,93.42095116736556,2,3.5,0,0,1.0,0,0,1.0,1,0,0.9946949602122016,1,0,0.9924098671726755,0,0,0,0,0,1.0,0,0,0,1,0,0.995,0,0,0.9887640449438202,0.3855107266436164
0.75,0,195,40,50,0.5,80,0,40,1,40,1,14,2,14,2,1,0,692,8,0.875,0.011560693641618497,38.57142857142858,60.0,74.8270577717656,98.99747723865696,2,3.5,0,0,1.0,0,1,0.9973190348525469,1,0,0.9933774834437086,0,0,0.9927404718693285,0,0,0,0,0,1.0,0,0,0,0,1,0.9953488372093023,0,0,0.9877300613496932,-0.17938216820337516
0.75,0,195,40,50,0.5,80,0,40,1,40,1,14,2,14,2,1,0,689,9,0.8888888888888888,0.013062409288824383,26.47058823529412,-4.0000000000000036,69.98672163731182,98.99747723865696,2,3.5,1,0,1.0,1,0,0.9946666666666667,1,0,0.9920634920634921,1,0,0.9908759124087592,0,0,0,0,0,1.0,0,0,0,1,0,0.9930715935334873,0,0,0.9876543209876543,-0.17500832998521787
0.75,2,195,40,50,0,80,1.5,40,0.5,40,0.5,14,2,14,1.5,0.5,0,647,4,1.0,0.0061823802163833074,46.666666666666664,30.000000000000004,78.66666666666666,100.0,2,3.5,1,0,1.0,0,0,1.0,1,0,0.9946949602122016,1,0,0.9962756052141527,0,0,0,0,0,1.0,0,0,0,0,1,0.9976525821596244,0,0,0.9969325153374233,-0.16539082753971002
1.25,1.5,195,40,50,0,80,0.5,40,0.5,40,0.5,14,2,14,1.5,0.5,0.5,726,2,1.0,0.0027548209366391185,20.0,5.000000000000004,68.0,100.0,2,3.5,1,0,1.0,1,0,0.9978768577494692,1,0,0.9973404255319149,1,0,0.9980657640232108,0,0,0,0,0,1.0,0,0,0,1,0,0.9961089494163424,0,0,1.0,-0.18495676052202725
1.5,1.5,200,50,30,0,100,0,50,0,50,0,14,0,14,2,0,1,673,19,0.7368421052631579,0.02823179791976226,57.73399014778325,-815.0,71.77231876968035,81.13120451761175,2.5,4.5,1,0,1.0,0,1,0.9956043956043956,0,1,0.9960159362549801,0,1,0.9943074003795066,0,0,0,1,0,0.9615384615384616,0,0,0,0,0,0.9939271255060729,0,1,1.0,0.5377327772515343
1,1.5,200,50,30,0,100,0,50,1,50,1,14,0.5,14,2,1,0.5,608,12,0.8333333333333334,0.019736842105263157,66.23376623376623,-185.0,82.18117599170287,92.81278249699395,2.5,4.5,1,0,1.0,0,0,0.9851380042462845,1,0,0.9881422924901185,1,0,0.9834862385321101,0,0,0,0,0,1.0,0,0,0,0,0,0.9957716701902748,1,0,0.9721254355400697,-0.19165650434123904
1.5,1,200,40,40,0,80,1,40,0,40,0,14,1,14,1,0,1.5,725,16,0.625,0.022068965517241378,66.49350649350649,-185.0,80.78748754741852,90.31680825002655,3,3.5,1,0,1.0,1,0,0.9799599198396793,1,0,0.9868421052631579,1,0,0.9818181818181818,0,0,0,0,0,1.0,0,0,0,0,0,0.9906103286384976,1,0,0.9820359281437125,0.22957940938684374
0.75,1.5,200,40,50,0,80,0,40,0,40,0,14,0.5,14,2,0,0,539,9,0.7777777777777778,0.016697588126159554,61.42857142857143,60.0,80.1936378541302,92.70368213783604,3,3.5,1,0,1.0,0,0,0.9919517102615694,0,1,0.9960159362549801,0,1,0.9945553539019963,0,0,0,1,0,0.9716981132075472,0,0,0,0,1,0.9969879518072289,0,0,0.995249406175772,-0.19005153915375672
1.5,2,205,60,40,0,120,1.5,60,0,60,0,14,1,14,0.5,0,0,600,15,0.8,0.025,77.6923076923077,-450.0,90.99197607675426,99.85842166638531,3,4.5,0,0,1.0,0,0,0.9767441860465116,1,0,0.984251968503937,1,0,0.9787610619469026,0,0,0,0,1,1.0,0,0,0,1,0,0.993993993993994,0,0,0.9789719626168224,-0.20954027257465668
1.5,2,205,60,40,0,120,1.5,60,0,60,0,14,1,14,0.5,0,0,610,20,0.75,0.03278688524590164,58.46774193548387,-1040.0,69.9165259780119,77.5490486730306,3,4.5,1,0,1.0,0,0,0.9741379310344828,1,0,0.9803921568627451,1,0,0.9770318021201413,0,0,0,0,1,1.0,0,0,0,0,0,0.9902912621359223,1,0,0.9779735682819384,0.3036945709515919
