HA_WEIGHT,BOILINGER_WEIGHT,SLOW_MA_PERIOD,SLOW_MA_WEIGHT,FAST_MA_PERIOD,FASTS_SLOW_MA_CROSS_WEIGHT,KAMA_PERIOD,KAMA_WEIGHT,EMA50_PERIOD,EMA50_WEIGHT,EMA30_PERIOD,EMA30_WEIGHT,ATR_PERIOD,ATR_WEIGHT,RSI_PERIOD,RSI_WEIGHT,PLUSDI_WEIGHT,MINUSDI_WEIGHT,STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,<class '__main__.CandleSequence'>_CONFLUENT,<class '__main__.CandleSequence'>_DIVERGENT,<class '__main__.CandleSequence'>_ACCEPTANCE_RATE,<class '__main__.MovingAverage'>_CONFLUENT,<class '__main__.MovingAverage'>_DIVERGENT,<class '__main__.MovingAverage'>_ACCEPTANCE_RATE,<class '__main__.KAMA'>_CONFLUENT,<class '__main__.KAMA'>_DIVERGENT,<class '__main__.KAMA'>_ACCEPTANCE_RATE,<class '__main__.EMA'>_CONFLUENT,<class '__main__.EMA'>_DIVERGENT,<class '__main__.EMA'>_ACCEPTANCE_RATE,<class '__main__.ATR'>_CONFLUENT,<class '__main__.ATR'>_DIVERGENT,<class '__main__.ATR'>_ACCEPTANCE_RATE,<class '__main__.RSI'>_CONFLUENT,<class '__main__.RSI'>_DIVERGENT,<class '__main__.RSI'>_ACCEPTANCE_RATE,<class '__main__.ADX'>_CONFLUENT,<class '__main__.ADX'>_DIVERGENT,<class '__main__.ADX'>_ACCEPTANCE_RATE,<class '__main__.MINUS_DI'>_CONFLUENT,<class '__main__.MINUS_DI'>_DIVERGENT,<class '__main__.MINUS_DI'>_ACCEPTANCE_RATE,<class '__main__.PLUS_DI'>_CONFLUENT,<class '__main__.PLUS_DI'>_DIVERGENT,<class '__main__.PLUS_DI'>_ACCEPTANCE_RATE,CLOSED
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,536,9,0.6666666666666666,0.016791044776119403,50.54945054945055,91.0,69.95912556463904,82.89890890809802,1.5,2,1,0,1.0,0,0,0.9978118161925602,1,0,0.9920634920634921,0,0,0.9946902654867257,0,0,0,0,0,1.0,0,0,0,0,1,0.9943342776203966,0,0,0.9925373134328358,0.03431046816643857
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,544,10,0.7,0.01838235294117647,58.57142857142858,60.0,77.0406314410772,89.35343335417627,1.5,2,0,0,1.0,0,0,0.9977528089887641,1,0,0.9907529722589168,0,0,0.994661921708185,0,0,0,1,0,0.9951923076923077,0,0,0,0,0,0.9943342776203966,0,1,0.9925373134328358,0.25181054262509406
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,537,13,0.6923076923076923,0.024208566108007448,68.42105263157895,-85.00000000000001,85.1383158196029,96.2831579449522,1.5,2,0,0,1.0,0,0,0.9977827050997783,1,0,0.9881422924901185,0,0,0.9928698752228164,0,0,0,0,0,0.9953051643192489,0,0,0,0,0,0.994475138121547,1,0,0.9898477157360406,0.07451493007110344
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,542,17,0.7058823529411765,0.03136531365313653,77.07692307692308,-450.0,90.28111295415852,99.0839062056488,1.5,2,0,0,1.0,0,0,0.9976689976689976,1,0,0.984251968503937,1,0,0.987719298245614,0,0,0,0,0,0.9948717948717949,0,0,0,1,0,0.9908536585365854,0,0,0.9860788863109049,0.19884262656320573
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,551,16,0.6875,0.029038112522686024,76.08695652173914,-305.99999999999994,90.43478260869566,100.0,1.5,2,1,0,1.0,0,0,0.9975961538461539,1,0,0.985545335085414,1,0,0.9894179894179894,0,0,0,0,0,0.9955156950672646,0,0,0,0,0,0.9915254237288136,1,0,0.9876237623762376,0.27463410670071653
1,1,200,50,30,0.5,100,1,50,0,50,0,14,1,14,1,0,0,562,22,0.6818181818181818,0.03914590747330961,81.85483870967742,-1040.0,92.74193548387098,100.0,1.5,2,0,0,1.0,0,0,0.9973333333333333,1,0,0.9803921568627451,0,0,0.9836660617059891,0,0,0,0,0,0.995049504950495,0,0,0,0,0,0.9918478260869565,0,1,0.9796437659033079,-0.1637028265302689
1.25,1.5,205,40,60,1,80,0.5,40,0,40,0,14,2,14,0,0,0,606,4,0.75,0.006600660066006601,35.714285714285715,14.000000000000002,74.28571428571429,100.0,1.5,2.0,1,0,1.0,1,0,0.9977220956719818,1,0,0.9960159362549801,0,0,0.998220640569395,0,0,0,0,0,1.0,0,0,0,0,1,1.0,0,0,0.9977426636568849,-0.3005098031141671
1,2,200,50,50,0.5,100,0,50,0.5,50,0.5,14,1,14,1,0.5,1.5,663,9,0.6666666666666666,0.013574660633484163,60.43956043956044,91.0,84.17582417582418,100.0,1.5,2,1,0,1.0,0,0,1.0,1,0,0.9933774834437086,1,0,0.9911190053285968,0,0,0,0,0,1.0,0,0,0,1,0,0.9936507936507937,0,0,0.9909297052154195,-0.22909839502194984
1,2,200,50,50,0.5,100,0,50,0.5,50,0.5,14,0.5,14,1,0.5,1.5,719,7,0.8571428571428571,0.009735744089012517,56.043956043956044,91.0,79.29413191701869,94.79424916572714,2,3.0,1,0,1.0,1,0,0.9909706546275395,1,0,0.9933774834437086,1,0,0.9908424908424909,0,0,0,0,0,1.0,0,0,0,0,0,0.9940119760479041,1,0,0.990521327014218,0.29396729122548493
1,1,190,40,30,1,80,1.5,40,1,40,1,14,2,14,2,1,1.5,735,8,0.875,0.010884353741496598,61.42857142857143,60.0,82.79017963692169,97.03125177582189,1.5,2.5,0,0,1.0,1,0,0.9876543209876543,1,0,0.9907529722589168,1,0,0.9871559633027523,0,0,0,0,0,1.0,0,0,0,0,0,0.9929577464788732,1,0,0.9894291754756871,-0.2043361115984652
1,1.5,190,50,40,1,100,1.5,50,0,50,0,14,1.5,14,0,0,1,691,10,0.8,0.01447178002894356,56.372549019607845,-4.0000000000000036,75.52084024700588,88.2863677319379,2,4.0,1,0,1.0,1,0,0.9813519813519813,1,0,0.9894459102902374,1,0,0.9849056603773585,0,0,0,0,1,1.0,0,0,0,0,0,1.0,1,0,0.9828693790149893,1.0271226299889804
0.75,0,200,60,60,0,120,0,60,0.5,60,0.5,14,1.5,14,2,0.5,0,745,8,0.625,0.010738255033557046,47.27272727272727,55.00000000000001,71.14072941902158,87.05273084988444,2.5,4.5,1,0,1.0,1,0,0.9913978494623656,0,1,0.9946949602122016,1,0,0.9904030710172744,0,0,0,0,0,1.0,0,0,0,0,1,0.9963636363636363,0,0,0.9937369519832986,0.7771392182187924
0.75,0,195,60,60,0,120,1.5,60,0.5,60,0.5,14,1.5,14,2,0.5,0,704,4,0.75,0.005681818181818182,35.714285714285715,14.000000000000002,74.28571428571429,100.0,2.5,4.5,1,0,1.0,1,0,0.9940476190476191,1,0,0.9960159362549801,1,0,0.9945454545454545,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1,0,0.9941176470588236,0.6026539220221281
0.75,0,195,60,60,0,120,1.5,60,0.5,60,0.5,14,1.5,14,2,0.5,0,705,6,0.6666666666666666,0.00851063829787234,46.666666666666664,30.000000000000004,78.66666666666666,100.0,2.5,4.5,1,0,1.0,0,0,0.9940357852882704,1,0,0.9946949602122016,1,0,0.9929701230228472,0,0,0,0,0,1.0,0,0,0,1,0,0.9958677685950413,0,0,0.994140625,-0.6452743719091671
0.75,2,190,70,50,0.5,140,1.5,70,1,70,1,14,1.5,14,0,1,0,698,23,0.8260869565217391,0.0329512893982808,85.18218623481782,-2270.0,94.00442879806265,99.88592384022587,3,5.0,1,0,1.0,1,0,0.9670781893004116,1,0,0.9752925877763329,1,0,0.9705882352941176,0,0,0,0,0,1.0,0,0,0,1,0,0.9827586206896551,0,0,0.9707724425887265,-0.9093524586335207
0.75,2,190,70,50,0.5,140,1.5,70,1,70,1,14,1.5,14,0,1,0,701,25,0.8,0.03566333808844508,62.160278745644604,-2670.0,71.30302337131295,77.39818645509186,3,5.0,0,0,1.0,0,0,0.9678714859437751,1,0,0.974025974025974,0,0,0.9708404802744426,0,0,0,0,1,1.0,0,0,0,0,0,0.9790209790209791,1,0,0.9710743801652892,-0.7301511128618898
1,1.5,205,40,30,0,80,1.5,40,0,40,0,14,1.5,14,1.5,0,0,709,21,0.7142857142857143,0.029619181946403384,57.66129032258065,-1040.0,72.26410968579584,81.99932259460599,1.5,3.0,1,0,1.0,1,0,0.997920997920998,1,0,0.9803921568627451,1,0,0.9947460595446584,0,0,0,0,0,1.0,0,0,0,0,0,0.9852941176470589,1,0,0.9877049180327869,0.4492548001344403
1,1.5,205,40,30,0,80,1.5,40,0,40,0,14,1.5,14,1.5,0,0,705,22,0.7272727272727273,0.031205673758865248,62.834224598930476,-1296.0,75.58738224208386,84.08948733751946,1.5,3.0,0,0,1.0,0,0,0.997946611909651,1,0,0.97911227154047,0,0,0.9948096885813149,0,0,0,0,0,1.0,0,0,0,0,0,0.9851301115241635,0,1,0.9877800407331976,0.524194141565971
